adm4_pcode,adm4_en,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_high,pct_area_landslide_hazard_med,google_bldgs_count,google_bldgs_density,google_bldgs_pct_built_up_area,google_bldgs_count_lt100_sqm,pct_area_builtup,pct_area_tree_cover,pct_area_cropland,rwi_latest,rwi_trend,pop_first,pop_last,pop_cagr,hazard_exposure,pop_projected_2030,projected_growth_pct,risk_score,risk_tier
PH104305004,Balubal,6.6509,0.0,0.0,36.5283,32.6604,2609.0,0.0001629632020139,0.8712346719934091,2397.0,1.47,104.96,0.62,0.4656301954248651,0.017453683428790112,1422.0469970703125,2608.9248046875,0.03080705108248405,43.1792,3533.7463104674853,35.44837720574938,0.4596349754560461,Tier 2: Priority Mitigation
PH104305001,Agusan,12.1597,0.0,0.0,24.1795,26.1482,5753.0,0.0009125252697674,6.537203674033157,4860.0,12.87,89.99,1.15,0.5245333227537399,0.023265415686793522,7597.09912109375,14855.60546875,0.03409902394737108,36.339200000000005,20773.59398189342,39.83673722079117,0.45844278131040295,Tier 2: Priority Mitigation
PH104305074,Barangay 7 (Pob.),58.2056,56.4648,50.9976,0.0,0.0,178.0,0.0024541431308412,28.838212108269573,102.0,46.75,23.87,1.05,0.743951755826106,0.13435822148699217,255.426498413086,443.535888671875,0.02797639165861665,58.2056,584.4672417970556,31.77450950974583,0.4557756149362613,Tier 2: Priority Mitigation
PH104305047,Dansolihon,5.9159,0.0,0.0,26.8377,52.9653,3099.0,7.274984194083417e-05,0.3574465735112723,2877.0,0.47,100.13,0.22,0.3275528085774497,0.08827137438599167,4606.21826171875,8392.1513671875,0.030448852112209712,32.7536,11327.594824331356,34.97843793215119,0.45112971377910055,Tier 2: Priority Mitigation
PH104305072,Tumpagon,5.2801,0.0,0.0,36.0182,48.9743,792.0,2.770672595870659e-05,0.1385981448349613,723.0,0.2,99.93,0.04,0.2721554847754631,0.08721997166390227,870.3050537109375,1415.987548828125,0.024635495008617614,41.2983,1806.148268256553,27.553965411018332,0.44716886903608677,Tier 2: Priority Mitigation
PH104305062,Pigsag-an,5.3842,0.0,0.0,18.2251,65.7408,555.0,2.1252041500980714e-05,0.0871585597584544,524.0,0.11,100.42,0.1,0.2555412455986495,0.05756454047364509,1927.6995849609373,3519.8359375,0.030562068151086086,23.6093,4756.242121760366,35.126812903062074,0.4338812757954479,Tier 2: Priority Mitigation
PH104305020,Barangay 24 (Pob.),38.3595,8.2537,1.8683,0.0,0.0,304.0,0.0017680061024139,47.27813981189831,172.0,100.0,0.86,0.0,0.7319600816222996,0.14465639633075122,1781.40673828125,3569.64306640625,0.035364059047443774,38.3595,5053.073827341678,41.55683728986599,0.4337309771161818,Tier 2: Priority Mitigation
PH104305018,Barangay 22 (Pob.),43.4683,16.0567,0.0,0.0,0.0,787.0,0.0043957151301371,45.237067147390206,617.0,100.0,14.46,0.0,0.7220652355193289,0.13844708824990737,1573.73681640625,2710.52392578125,0.02755731913623949,43.4683,3557.245308368082,31.238292144673952,0.4311581729393459,Tier 2: Priority Mitigation
PH104305005,Balulang,36.4591,25.1534,11.8723,0.0515,12.3526,14329.0,0.0019856153385968,16.32356118384744,10109.0,38.79,65.59,1.45,0.6744115269022243,0.07155950975528025,21227.1640625,38747.12890625,0.03054598957006993,36.5106,52349.5922243527,35.105732223448925,0.4008892999947095,Tier 2: Priority Mitigation
PH104305067,Tablon,7.6735,0.3959,0.1272,23.7221,33.7456,9684.0,0.0004368270045858,4.8443385753139205,7823.0,9.44,90.6,0.2,0.5279976291249224,0.030088855657542657,12061.892578125,22149.1875,0.030853897250958884,31.3956,30014.351978960647,35.50994581160436,0.3972403362671488,Tier 2: Priority Mitigation
